object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 201111557.01,k2,1.234117277467785e-07,0.0,non-planet,candidate,CANDIDATE,2.30183,1.12,1054.0,,,,1.0,0.0,4616.52,4.53679,0.762602,0.73,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995
EPIC 201111557.01,k2,1.234117277467785e-07,0.0,non-planet,candidate,CANDIDATE,2.302368,1.31258765,,,,,1.0,0.0,4720.0,4.5,0.710995,,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995
EPIC 201111557.01,k2,1.91066316353831e-06,0.0,non-planet,candidate,CANDIDATE,2.30183,1.12,1054.0,,,,1.0,0.0,4616.52,4.53679,0.762602,0.73,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995
EPIC 201111557.01,k2,1.91066316353831e-06,0.0,non-planet,candidate,CANDIDATE,2.302368,1.31258765,,,,,1.0,0.0,4720.0,4.5,0.710995,,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995
EPIC 201126503.01,k2,6.02906980493975e-08,0.0,non-planet,candidate,CANDIDATE,1.1947488,4.19,,,,,1.0,0.0,3919.0,,0.57,,175.9385954,-5.8733592,290.062,19.21,14.23,17.8892
EPIC 201127519.01,k2,1.2011385029618666e-06,0.0,non-planet,candidate,CANDIDATE,6.178369,9.91257877,,,,,1.0,0.0,5015.0,4.67,0.789478,,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806
EPIC 201127519.01,k2,1.2011385029618666e-06,0.0,non-planet,candidate,CANDIDATE,6.17887,8.84,772.0,,,,1.0,0.0,4719.28,4.45833,0.849432,0.756,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806
EPIC 201127519.01,k2,1.0742356212467103e-07,0.0,non-planet,candidate,CANDIDATE,6.178369,9.91257877,,,,,1.0,0.0,5015.0,4.67,0.789478,,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806
EPIC 201127519.01,k2,1.0742356212467103e-07,0.0,non-planet,candidate,CANDIDATE,6.17887,8.84,772.0,,,,1.0,0.0,4719.28,4.45833,0.849432,0.756,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806
EPIC 201147085.01,k2,1.314434753667685e-07,0.0,non-planet,candidate,CANDIDATE,1.17589,0.86,,,,,1.0,0.0,,,0.309,,173.902664,-5.364612,166.5844,16.64,11.397,
EPIC 201152065.01,k2,1.0192242085941753e-07,0.0,non-planet,candidate,CANDIDATE,10.6966,1.45,,,,,1.0,0.0,,,0.588,,173.0432884,-5.2471672,212.291,14.346,11.43,13.9562
EPIC 201160662.01,k2,4.450426913005959e-08,0.0,non-planet,candidate,CANDIDATE,1.5374115,45.0,,,,,1.0,0.0,,,1.599,,174.9978388,-5.0404536,666.23,12.382,10.797,12.0464
EPIC 201164625.01,k2,4.5663758024048443e-08,0.0,non-planet,candidate,CANDIDATE,2.71189,4.34,2336.0,,,,1.0,0.0,6402.0,3.54386,3.16745,1.28,181.5936878,-4.9467043,1032.42,11.461,10.777,11.8357
EPIC 201166680.01,k2,2.774117929103489e-05,0.0,non-planet,candidate,CANDIDATE,18.10549,2.09985108,,,,,1.0,2.0,6213.0,4.32,1.224685,,181.1211419,-4.8991358,266.864,10.971,9.591,10.7424
EPIC 201176672.01,k2,1.615975532412453e-07,0.0,non-planet,candidate,CANDIDATE,79.9999,10.2,,,,,1.0,0.0,4542.0,4.747,0.508,,169.1498727,-4.6564416,333.46,14.258,11.604,13.9651
EPIC 201176672.02,k2,1.7243300707341025e-07,0.0,non-planet,candidate,CANDIDATE,,30.0,,,,,1.0,0.0,,,0.707,,169.1498727,-4.6564416,333.46,14.258,11.604,13.9651
EPIC 201180665.01,k2,3.122989038325813e-08,0.0,non-planet,candidate,CANDIDATE,17.77297,26.44,830.0,,,,1.0,0.0,5847.0,4.26659,1.25428,1.06,184.1697015,-4.5603949,601.265,13.327,11.65,13.0873
EPIC 201182911.01,k2,5.833188243484301e-08,0.0,non-planet,candidate,CANDIDATE,0.99656225,32.8,,,,,1.0,0.0,3727.0,,0.5,,172.7104166,-4.5075924,335.632,16.226,12.335,15.4518
EPIC 201197348.01,k2,3.9935857094447405e-06,0.0,non-planet,candidate,CANDIDATE,14.912381,3.55,,,,,1.0,0.0,4224.0,,0.65,,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437
EPIC 201197348.01,k2,3.9935857094447405e-06,0.0,non-planet,candidate,CANDIDATE,14.9139,3.24,,,,,1.0,0.0,,,0.647,,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437
EPIC 201197348.01,k2,1.5182272696423616e-07,0.0,non-planet,candidate,CANDIDATE,14.912381,3.55,,,,,1.0,0.0,4224.0,,0.65,,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437
EPIC 201197348.01,k2,1.5182272696423616e-07,0.0,non-planet,candidate,CANDIDATE,14.9139,3.24,,,,,1.0,0.0,,,0.647,,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437
EPIC 201231940.01,k2,4.555293165853248e-08,0.0,non-planet,candidate,CANDIDATE,0.57303573,3.35,,,,,1.0,0.0,3570.0,,0.43,,174.1207146,-3.4828286,1138.64,18.78,15.155,18.0887
EPIC 201238110.01,k2,6.759160946402957e-06,0.0,non-planet,candidate,CANDIDATE,7.90417,2.06,,,,,1.0,1.0,,,0.374,,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612
