object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
BD+20 594 b,k2,0.9999999068919871,100.0,planet,planet,CONFIRMED,41.688644,2.35545351,,,,,1.0,1.0,5703.0,4.38,0.956122,0.963861,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999999068919871,100.0,planet,planet,CONFIRMED,41.6855,2.23,546.0,,0.0,0.241,1.0,1.0,5766.0,4.5,0.928,0.961,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999999068919871,100.0,planet,planet,CONFIRMED,41.6855,2.57807,,,0.0,,1.0,1.0,5766.0,4.5,1.08,1.67,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999998922097296,100.0,planet,planet,CONFIRMED,41.688644,2.35545351,,,,,1.0,1.0,5703.0,4.38,0.956122,0.963861,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999998922097296,100.0,planet,planet,CONFIRMED,41.6855,2.23,546.0,,0.0,0.241,1.0,1.0,5766.0,4.5,0.928,0.961,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999998922097296,100.0,planet,planet,CONFIRMED,41.6855,2.57807,,,0.0,,1.0,1.0,5766.0,4.5,1.08,1.67,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999987644028129,100.0,planet,planet,CONFIRMED,41.688644,2.35545351,,,,,1.0,1.0,5703.0,4.38,0.956122,0.963861,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999987644028129,100.0,planet,planet,CONFIRMED,41.6855,2.23,546.0,,0.0,0.241,1.0,1.0,5766.0,4.5,0.928,0.961,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
BD+20 594 b,k2,0.9999987644028129,100.0,planet,planet,CONFIRMED,41.6855,2.57807,,,0.0,,1.0,1.0,5766.0,4.5,1.08,1.67,53.6511231,20.5990205,179.461,10.849,9.368,10.8644
EPIC 201170410.02,k2,0.9999996266593135,100.0,planet,planet,CONFIRMED,6.7987,1.047,,,0.0,0.0349,1.0,1.0,3648.0,4.999,0.282,0.287,170.1408561,-4.8070039,,17.6984,12.619,16.4386
EPIC 201238110 b,k2,0.9999898933718694,100.0,planet,planet,CONFIRMED,28.1656,1.87,,,,,1.0,1.0,,,,0.41,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612
EPIC 201238110 b,k2,0.9999898933718694,100.0,planet,planet,CONFIRMED,28.1696,2.2,,,,,1.0,1.0,,,0.374,,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612
EPIC 201238110 b,k2,0.9999801223751511,100.0,planet,planet,CONFIRMED,28.1656,1.87,,,,,1.0,1.0,,,,0.41,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612
EPIC 201238110 b,k2,0.9999801223751511,100.0,planet,planet,CONFIRMED,28.1696,2.2,,,,,1.0,1.0,,,0.374,,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612
EPIC 201427007 b,k2,0.9999991646303419,100.0,planet,planet,CONFIRMED,0.72091,1.5,,,,,1.0,1.0,5633.0,4.4,0.94,,184.6021322,-0.5512886,706.391,14.321,12.581,14.147
EPIC 201497682 b,k2,0.9999842112387706,100.0,planet,planet,CONFIRMED,2.13174,0.692,,,,,1.0,1.0,,,,0.78,168.9366786,0.4880606,253.026,13.948,11.438,13.7368
EPIC 201595106 b,k2,0.9999999336436598,100.0,planet,planet,CONFIRMED,0.877214,1.3,,,,,1.0,2.0,5820.0,4.6,0.93,,183.7203635,1.9681688,232.1,11.746,10.218,11.6477
EPIC 201595106 b,k2,0.9999999336436598,100.0,planet,planet,CONFIRMED,0.87724,1.565,2038.0,2852.0,0.0,0.0177,1.0,2.0,5679.0,4.435,0.98,0.958,183.7203635,1.9681688,232.1,11.746,10.218,11.6477
