object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
50365310,tess,1.2324128163627703e-05,0.0,non-planet,non-planet,FP,2.1713484,2459229.630046,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0,4.19,2.16986,112.357708,-12.69596
88863718,tess,0.00018246449440079195,0.02,non-planet,candidate,PC,1.9316462,2459987.948873,3.166,1286.0,11.2154,4045.0,44464.5,7070.0,4.03,2.01,122.580465,-5.513852
124709665,tess,8.405768068030741e-06,0.0,non-planet,non-planet,FP,1.8675574,2459224.687802,1.408,1500.0,23.7529,2037.0,2860.61,8924.0,,5.73,104.726966,-10.580455
106997505,tess,6.110590768062108e-06,0.0,non-planet,non-planet,FP,2.74323,2458493.3957,3.167,383.41,,1631.0,1177.36,5388.5,4.15,,110.559945,-25.207017
238597883,tess,3.762409578085041e-06,0.0,non-planet,non-planet,FP,3.5730141,2459987.047262,3.37,755.0,11.3113,4260.0,54679.3,9219.0,4.14,2.15,122.178195,-48.802811
169904935,tess,8.83612334823977e-05,0.01,non-planet,non-planet,FP,4.5505945,2459985.156855,2.654,3731.0,7.10841,1257.0,414.775,5613.0,,1.09,120.704811,-11.101521
156115721,tess,2.152829983776353e-05,0.0,non-planet,non-planet,FP,2.5047918,2459229.984579,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.932635,6616.0,,1.53429,124.359239,-27.273521
65212867,tess,0.005616384538181173,0.56,non-planet,candidate,PC,6.9989206,2459247.930695,3.953,2840.0,14.7752,1282.0,448.744,6596.0,3.71,2.7,112.752393,-4.463359
440801822,tess,1.322965961900332e-05,0.0,non-planet,non-planet,FP,2.0483755,2460258.236122,2.767,483.0,3.19621,,5644.4,6858.5,4.2,1.57,109.382839,13.395219
107782586,tess,2.7643471747622168e-06,0.0,non-planet,candidate,PC,1.9600277,2459229.230924,2.0065257,1707.6272693,,1456.4246534,1063.3422958,8868.7,,,111.667845,-24.462111
139853601,tess,5.323098307264511e-06,0.0,non-planet,non-planet,FP,0.6808702,2459228.878101,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0,,1.0,112.293981,-21.832912
114018671,tess,0.007586474243229292,0.76,non-planet,candidate,PC,2.4704981,2459984.627768,2.191,250.0,1.44656,1364.0,575.597,5413.7,4.46,0.94,113.984761,-32.841999
427508467,tess,7.357095732072527e-05,0.01,non-planet,non-planet,APC,0.884182,2459252.509595,1.621,1890.0,24.8132,5098.0,112144.0,8928.0,3.92,2.72,117.095285,6.785064
97700520,tess,0.000408444525815934,0.04,non-planet,non-planet,FP,5.4255548,2459232.248322,3.9637474,14939.6342222,,1037.2753045,273.5880696,8868.7,,,107.286063,-31.933523
96246348,tess,0.00027324620985690946,0.03,non-planet,non-planet,FP,1.4095184,2459985.657041,0.9484999,2841.5103258,,1625.6180218,1650.422071,9307.0,,,103.561602,-34.22282
155044736,tess,1.3572271797585731e-05,0.0,non-planet,non-planet,FP,1.3730466,2459963.610065,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0,,6.7996101,122.895964,-27.971896
175310067,tess,5.755116535205817e-05,0.01,non-planet,non-planet,FP,12.6889415,2459238.831138,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0,4.31,1.53641,116.110771,-36.098285
182943944,tess,0.00013750763083936296,0.01,non-planet,non-planet,FP,1.10422,2458518.96536,2.37,14177.7,21.0448,3926.0,39459.3,6995.2,4.07,1.61,124.726411,-37.78325
291555748,tess,0.0006388085773602456,0.06,non-planet,non-planet,FP,4.95912,2458492.78078,2.509,7440.0,22.9123,1419.0,673.55,5889.0,3.86,2.0,111.716019,-50.266567
341420329,tess,0.004289357963402633,0.43,non-planet,candidate,PC,5.2341008,2459232.446864,3.7078139,20796.9416293,24.2931408,1574.8381848,1453.6663847,7645.0,4.3,1.56203,120.147994,-54.878552
140706664,tess,0.00014743527671843721,0.01,non-planet,non-planet,FP,3.28892,2458521.29108,3.793,10518.9,,3661.0,29832.6,8734.2,4.1,,128.381976,-43.828421
143994283,tess,0.00011330981464401094,0.01,non-planet,non-planet,FP,1.90879,2458492.90429,1.909,618.482,3.34688,1561.0,985.807,6022.6,4.52,1.22,119.30075,-42.999149
47384844,tess,0.0015336526611164963,0.15,non-planet,non-planet,FA,3.09574,2458547.448,4.475,380.0,3.4262,3230.0,18087.9,6084.0,4.13,1.41,162.96491,-5.788708
238374636,tess,1.7778773021463828e-05,0.0,non-planet,non-planet,FP,1.3214483,2459303.303969,3.435,2180.0,21.8839,3827.0,35623.2,5050.8,3.56,2.99,120.837688,-51.345626
141482386,tess,1.574742133144103e-05,0.0,non-planet,non-planet,FP,18.0157,2458339.72276,2.524,610.0,21.644,463.0,7.64364,4709.0,,7.61,86.820714,-72.422611
297967252,tess,0.0017982246707521302,0.18,non-planet,candidate,PC,9.6837921,2458545.149804,2.4006056,4238.2399008,,1914.698926,3176.3106916,8598.7,,,142.521159,-51.517114
388624270,tess,0.002198636491020317,0.22,non-planet,non-planet,FP,14.2628757,2460720.807674,6.9350494,913.2067174,2.4765813,980.3628831,153.2069421,5690.0,4.58,0.853898,125.434634,-51.759442
20318757,tess,0.00830099409243804,0.83,non-planet,candidate,PC,3.2834565,2460037.86905,1.537,1558.0,2.87648,992.0,161.092,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.00830099409243804,0.83,non-planet,candidate,PC,11.02875,2460032.53325,2.715,1694.0,2.76586,548.0,15.0463,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.00830099409243804,0.83,non-planet,candidate,PC,5.0113292,2460032.57304,1.024,1210.0,2.52314,567.0,17.1793,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.010275453433956663,1.03,non-planet,candidate,PC,3.2834565,2460037.86905,1.537,1558.0,2.87648,992.0,161.092,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.010275453433956663,1.03,non-planet,candidate,PC,11.02875,2460032.53325,2.715,1694.0,2.76586,548.0,15.0463,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.010275453433956663,1.03,non-planet,candidate,PC,5.0113292,2460032.57304,1.024,1210.0,2.52314,567.0,17.1793,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.0019620072318861344,0.2,non-planet,candidate,PC,3.2834565,2460037.86905,1.537,1558.0,2.87648,992.0,161.092,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.0019620072318861344,0.2,non-planet,candidate,PC,11.02875,2460032.53325,2.715,1694.0,2.76586,548.0,15.0463,4272.0,4.6,0.68,167.133275,-29.653135
20318757,tess,0.0019620072318861344,0.2,non-planet,candidate,PC,5.0113292,2460032.57304,1.024,1210.0,2.52314,567.0,17.1793,4272.0,4.6,0.68,167.133275,-29.653135
447283466,tess,0.0008328452988222135,0.08,non-planet,non-planet,FP,1.01606,2458544.48066,2.843,240.0,1.20704,2023.0,2784.04,4634.0,4.64,0.68,157.098337,-51.705409
374908020,tess,0.0028529568845924087,0.29,non-planet,non-planet,FP,36.22214,2458365.89313,5.107,7170.0,,,,,,,88.73909,-65.958839
464296022,tess,0.0006842373434374982,0.07,non-planet,non-planet,FP,12.1246519,2460054.783937,4.612,7279.0,17.6729,1057.0,207.32,4807.6,4.17,1.07,155.831478,-57.590248
304021498,tess,0.0008519988002244078,0.09,non-planet,non-planet,FP,5.652623,2459304.837939,3.434,1250.0,8.94354,2011.0,2717.06,6415.4,3.98,1.92,140.88389,-67.026006
146589986,tess,0.0014397654872586856,0.14,non-planet,candidate,PC,5.6643704,2459283.828685,3.8087395,3491.8232968,14.7738943,2385.8536488,7657.6621505,10395.0,4.13,2.3383701,159.221506,-42.541639
149601557,tess,6.986802584613996e-05,0.01,non-planet,non-planet,FP,29.0160175,2460195.100648,5.345,1389.0,6.77406,,33.2234,6113.1,,2.01,87.282586,-60.498444
400595342,tess,0.00041781376323497983,0.04,non-planet,non-planet,FP,3.6404389,2460768.617427,2.5339234,476.3077321,3.7025342,2783.098027,9941.2265514,9810.0,4.43,1.60776,134.441752,-49.000578
361413119,tess,3.862060537220602e-06,0.0,non-planet,candidate,PC,6.0744477,2459286.872605,2.4954821,5982.5212406,30.9493217,1583.9398898,1487.5644344,5964.0,3.7,2.4303801,144.150273,-61.583182
146172354,tess,0.013529283319350584,1.35,non-planet,candidate,PC,3.7795212,2460037.172273,2.952,2761.0,5.98375,1294.0,466.528,5771.0,4.31,1.18,157.867112,-42.240448
363260203,tess,8.70325917790141e-06,0.0,non-planet,non-planet,FP,1.2025238,2459331.124512,1.991,390.0,6.31106,5952.0,208477.0,9158.0,4.32,1.74,147.385172,-63.306478
90544017,tess,1.0230837177729209e-06,0.0,non-planet,non-planet,FP,3.2235985,2459273.371643,2.159,680.0,5.51341,,2064.8,8904.0,4.09,2.17,128.454638,-49.940347
461867584,tess,1.0973037918487672e-05,0.0,non-planet,non-planet,APC,4.420125,2460031.2166,3.956,2466.0,,,,,,,149.688545,-58.760453
310483807,tess,1.1678623275421363e-06,0.0,non-planet,non-planet,FP,2.55555,2458520.65674,1.566,340.0,11.5901,2145.0,3520.68,10037.0,,6.04,128.61421,-61.488262
385624852,tess,2.910084461227183e-05,0.0,non-planet,non-planet,FP,8.30792,2459261.801216,3.228,8350.0,43.1068,1924.0,2276.25,9081.0,3.83,3.05,138.402252,-55.19791
360286627,tess,5.958100271036929e-05,0.01,non-planet,candidate,PC,0.758082,2459281.337956,1.8184632,583.93181,10.1273702,5499.7476332,216218.1005011,9917.0,3.75,3.5086601,141.975215,-61.33004
90448944,tess,4.698617379098111e-06,0.0,non-planet,non-planet,FP,1.4415577,2459985.770425,2.349,507.0,3.61078,3174.0,16861.8,6902.0,4.25,1.52,128.302319,-52.714202
463402815,tess,0.00011711522793635377,0.01,non-planet,candidate,PC,1.0085089,2460037.194672,1.642,3051.0,,,,5215.2,,,153.811023,-58.766393
54044474,tess,0.0064582218904682305,0.65,non-planet,non-planet,FP,3.7039994,2459301.544126,4.277,7590.0,17.57,2149.0,3546.13,7013.8,4.21,1.9,159.887704,-32.51188
309787037,tess,7.706743465413857e-05,0.01,non-planet,non-planet,FP,1.3042553,2460177.867195,1.706,914.0,9.36472,3569.0,26944.7,6762.0,4.11,1.75,126.419468,-60.907514
370745311,tess,0.0002286617496470785,0.02,non-planet,non-planet,FP,0.62627,2458544.79061,0.666,1880.0,5.72162,2101.0,3235.57,5622.0,4.5,0.93,144.581535,-67.505097
384549882,tess,6.630110682340371e-07,0.0,non-planet,non-planet,FP,0.30412,2458518.376,0.748,1330.0,10.417,6413.0,280833.0,11892.0,4.14,2.52,136.527702,-54.903922
259863352,tess,0.0002941859504681377,0.03,non-planet,non-planet,FA,21.701669,2458657.736625,8.2676424,211.6567325,2.3751494,685.2,52.095,5625.0,4.438,1.56486,40.365939,-71.462749
112395568,tess,0.0015074954911178302,0.15,non-planet,non-planet,FP,5.742625,2458657.999179,2.860293,1105.760867,13.088532,,,5664.0,3.26574,3.86959,290.977117,-33.351416
